,,,,,,,,,,Month Year,Apr-17,Apr-17,Apr-17,Apr-17,Apr-17,Apr-17,Apr-17,Apr-17,May-17,May-17,May-17,May-17,May-17,May-17,May-17,May-17,Jun-17,Jun-17,Jun-17,Jun-17,Jun-17,Jun-17,Jun-17,Jun-17,Jul-17,Jul-17,Jul-17,Jul-17,Jul-17,Jul-17,Jul-17,Jul-17,Aug-17,Aug-17,Aug-17,Aug-17,Aug-17,Aug-17,Aug-17,Aug-17,Sep-17,Sep-17,Sep-17,Sep-17,Sep-17,Sep-17,Sep-17,Sep-17,Oct-17,Oct-17,Oct-17,Oct-17,Oct-17,Oct-17,Oct-17,Oct-17,Nov-17,Nov-17,Nov-17,Nov-17,Nov-17,Nov-17,Nov-17,Nov-17,Dec-17,Dec-17,Dec-17,Dec-17,Dec-17,Dec-17,Dec-17,Dec-17,Jan-18,Jan-18,Jan-18,Jan-18,Jan-18,Jan-18,Jan-18,Jan-18,Feb-18,Feb-18,Feb-18,Feb-18,Feb-18,Feb-18,Feb-18,Feb-18,Mar-18,Mar-18,Mar-18,Mar-18,Mar-18,Mar-18,Mar-18,Mar-18,Total,Total,Total,Total,Total,Total,Total,Total
13,PC - 3,Cacilia Aimee,Level 2,Location 1,Client Service Staff,SVP/VP,Idalina Lauraine,31-12-2004,Active,,160,152,25.00,8.00,0.00,99.00,68.00,16.45%,184,120,6.00,64.00,0.00,84.00,60.00,5.00%,176,168,0.00,8.00,0.00,138.00,72.00,0.00%,168,168,24.00,0.00,0.00,112.00,74.00,14.29%,184,168,0.00,16.00,0.00,100.00,109.00,0.00%,168,160,20.00,8.00,0.00,92.00,88.00,12.50%,176,128,4.00,32.00,16.00,67.00,93.00,3.13%,176,143.5,24.00,32.00,0.50,96.00,60.00,16.72%,168,128,23.00,40.00,0.00,61.00,76.00,17.97%,184,160,8.00,24.00,0.00,86.00,106.00,5.00%,160,130,34.00,0.00,30.00,64.00,72.00,26.15%,176,168,2.00,8.00,0.00,105.00,103.00,1.19%,"2,080",1793.5,170.00,240.00,46.50,"1,104.00",981.00,9.48%
14,PC - 3,Tallia Eyde,Level 2,Location 1,Client Service Staff,SVP/VP,Idalina Lauraine,28-02-2005,Active,,160,112,43.00,48.00,0.00,32.00,40.00,38.39%,184,176,2.00,8.00,0.00,88.00,88.00,1.14%,176,168,1.00,8.00,0.00,116.00,52.00,0.60%,168,168,2.00,0.00,0.00,100.00,68.00,1.19%,184,184,11.00,0.00,0.00,136.00,48.00,5.98%,168,160,96.00,8.00,0.00,49.00,21.00,60.00%,176,136,0.00,40.00,0.00,72.00,64.00,0.00%,176,176,28.00,0.00,0.00,128.00,48.00,15.91%,168,128,1.00,40.00,0.00,64.00,64.00,0.78%,184,160,50.00,24.00,0.00,88.00,66.00,31.25%,160,160,48.00,0.00,0.00,63.00,60.00,30.00%,176,168,19.00,8.00,0.00,122.00,32.00,11.31%,"2,080",1896,301.00,184.00,0.00,"1,058.00",651.00,15.88%
16,PC - 3,Zaria Dawn,Level 3,Location 1,Client Service Staff,Confirmed Staff,Cacilia Aimee,30-11-2005,Active,,160,144,77.00,8.00,8.00,75.00,0.00,53.47%,184,184,64.00,0.00,0.00,132.00,0.00,34.78%,176,176,10.00,0.00,0.00,176.00,0.00,5.68%,168,128,4.00,0.00,40.00,116.00,0.00,3.13%,184,168,77.00,16.00,0.00,136.00,0.00,45.83%,168,160,56.00,8.00,0.00,160.00,0.00,35.00%,176,160,0.00,16.00,0.00,160.00,0.00,0.00%,176,168,72.00,8.00,0.00,96.00,0.00,42.86%,168,128,48.00,40.00,0.00,80.00,0.00,37.50%,184,168,72.00,16.00,0.00,96.00,0.00,42.86%,160,160,0.00,0.00,0.00,160.00,0.00,0.00%,176,176,76.00,0.00,0.00,100.00,0.00,43.18%,"2,080",1920,556.00,112.00,48.00,"1,487.00",0.00,28.96%
17,PC - 1,Trudey Lissi,Level 3,Location 3,Client Service Staff,Confirmed Staff,Rochette Jilleen,31-12-2005,Active,,160,152,3.50,8.00,0.00,0.00,148.50,2.30%,184,176,40.00,8.00,0.00,0.00,72.00,22.73%,176,144,4.00,0.00,32.00,0.00,220.00,2.78%,168,168,2.00,0.00,0.00,0.00,162.00,1.19%,184,184,10.00,0.00,0.00,0.00,190.00,5.43%,168,120,16.50,48.00,0.00,0.00,135.50,13.75%,176,160,1.00,16.00,0.00,0.00,143.00,0.63%,176,176,12.00,0.00,0.00,0.00,180.00,6.82%,168,128,4.00,40.00,0.00,0.00,124.00,3.13%,184,168,0.00,16.00,0.00,0.00,144.00,0.00%,160,152,18.00,8.00,0.00,0.00,158.00,11.84%,176,152,10.00,24.00,0.00,0.00,142.00,6.58%,"2,080",1880,121.00,168.00,32.00,0.00,"1,819.00",6.44%
18,PC - 3,Marina Garnette,Level 3,Location 1,Client Service Staff,Confirmed Staff,Cacilia Aimee,31-01-2006,Active,,160,152,27.00,8.00,0.00,137.00,-8.00,17.76%,184,144,2.00,40.00,0.00,142.00,0.00,1.39%,176,168,0.00,8.00,0.00,16.00,152.00,0.00%,168,168,0.00,0.00,0.00,0.00,168.00,0.00%,184,168,6.00,16.00,0.00,0.00,168.00,3.57%,168,160,17.00,8.00,0.00,0.00,144.00,10.63%,176,160,0.00,16.00,0.00,0.00,160.00,0.00%,176,168,5.00,8.00,0.00,0.00,168.00,2.98%,168,128,18.00,40.00,0.00,0.00,112.00,14.06%,184,160,0.00,24.00,0.00,0.00,160.00,0.00%,160,160,31.00,0.00,0.00,0.00,129.00,19.38%,176,168,2.00,8.00,0.00,0.00,168.00,1.19%,"2,080",1904,108.00,176.00,0.00,295.00,"1,521.00",5.67%
19,PC - 3,Cordey Sofia,Level 3,Location 1,Client Service Staff,Resigned,Cacilia Aimee,31-05-2006,Resigned,30-04-2018,160,108,16.00,52.00,0.00,0.00,92.00,14.81%,184,168,0.00,16.00,0.00,0.00,168.00,0.00%,176,152,0.00,24.00,0.00,0.00,184.00,0.00%,168,144,0.00,24.00,0.00,0.00,168.00,0.00%,184,160,7.50,24.00,0.00,0.00,208.00,4.69%,168,168,0.00,0.00,0.00,0.00,208.00,0.00%,176,168,0.00,8.00,0.00,0.00,200.00,0.00%,176,160,6.00,16.00,0.00,0.00,178.00,3.75%,168,128,28.00,40.00,0.00,0.00,124.00,21.88%,184,160,0.00,24.00,0.00,0.00,184.00,0.00%,160,144,0.00,16.00,0.00,0.00,160.00,0.00%,176,152,20.00,24.00,0.00,0.00,156.00,13.16%,"2,080",1812,77.50,268.00,0.00,0.00,"2,030.00",4.28%
20,PC - 2,Leonanie Lexine,Level 6,Location 7,Client Service Staff,Confirmed Staff,Orsa Margeaux,30-06-2006,Active,,160,108,128.00,52.00,0.00,0.00,0.00,118.52%,184,168,186.00,8.00,8.00,0.00,0.00,110.71%,176,168.5,198.52,4.00,3.50,0.00,0.00,117.82%,168,166,179.50,0.00,2.00,0.00,0.00,108.13%,184,179,281.50,5.00,0.00,0.00,0.00,157.26%,168,160,214.00,8.00,0.00,0.00,0.00,133.75%,176,148,175.50,28.00,0.00,0.00,0.00,118.58%,176,175.5,209.00,0.00,0.50,0.00,0.00,119.09%,168,110,126.50,58.00,0.00,0.00,0.00,115.00%,184,166,166.00,15.00,3.00,0.00,0.00,100.00%,160,152,152.00,0.00,8.00,0.00,0.00,100.00%,176,156,165.50,20.00,0.00,0.00,0.00,106.09%,"2,080",1857,"2,182.02",198.00,25.00,0.00,0.00,117.50%
21,PC - 1,Alvinia Ede,Level 2,Location 3,Client Service Staff,SVP/VP,Rochette Jilleen,31-07-2006,Active,,160,152,68.00,8.00,0.00,84.00,0.00,44.74%,184,184,72.00,0.00,0.00,112.00,0.00,39.13%,176,176,47.00,0.00,0.00,130.00,0.00,26.70%,168,168,20.00,0.00,0.00,140.00,0.00,11.90%,184,168,102.00,16.00,0.00,90.00,0.00,60.71%,168,160,102.00,8.00,0.00,58.00,0.00,63.75%,176,112,16.00,24.00,40.00,96.00,0.00,14.29%,176,176,16.00,0.00,0.00,160.00,0.00,9.09%,168,128,0.00,40.00,0.00,128.00,0.00,0.00%,184,168,0.00,16.00,0.00,168.00,0.00,0.00%,160,160,38.00,0.00,0.00,122.00,0.00,23.75%,176,168,36.00,8.00,0.00,132.00,0.00,21.43%,"2,080",1920,517.00,120.00,40.00,"1,420.00",0.00,26.93%
22,PC - 2,Marys Essy,Level 3,Location 7,Client Service Staff,Confirmed Staff,Annnora Gabrielle,30-11-2006,Active,,160,152,40.00,8.00,0.00,0.00,112.00,26.32%,184,152,97.00,32.00,0.00,0.00,55.00,63.82%,176,176,2.00,0.00,0.00,0.00,175.00,1.14%,168,168,0.00,0.00,0.00,0.00,168.00,0.00%,184,184,0.00,0.00,0.00,0.00,184.00,0.00%,168,168,106.00,0.00,0.00,0.00,65.00,63.10%,176,120,3.00,56.00,0.00,0.00,118.00,2.50%,176,176,0.00,0.00,0.00,0.00,176.00,0.00%,168,88,0.00,80.00,0.00,0.00,88.00,0.00%,184,184,28.00,0.00,0.00,0.00,156.00,15.22%,160,160,22.00,0.00,0.00,0.00,144.00,13.75%,176,176,59.00,0.00,0.00,0.00,127.00,33.52%,"2,080",1904,357.00,176.00,0.00,0.00,"1,568.00",18.75%
23,PC - 1,Em Cacilie,Level 3,Location 8,Client Service Staff,Confirmed Staff,Jordanna Danya,31-12-2006,Active,,160,136,36.00,24.00,0.00,100.00,0.00,26.47%,184,184,48.00,0.00,0.00,136.00,0.00,26.09%,176,112,0.00,64.00,0.00,112.00,0.00,0.00%,168,168,160.00,0.00,0.00,0.00,0.00,95.24%,184,168,40.00,16.00,0.00,104.00,0.00,23.81%,168,160,136.00,8.00,0.00,56.00,0.00,85.00%,176,152,110.00,24.00,0.00,42.00,0.00,72.37%,176,168,168.00,8.00,0.00,0.00,0.00,100.00%,168,104,14.00,64.00,0.00,90.00,0.00,13.46%,184,168,0.00,16.00,0.00,144.00,0.00,0.00%,160,148,8.00,12.00,0.00,164.00,0.00,5.41%,176,160,76.00,16.00,0.00,88.00,0.00,47.50%,"2,080",1828,796.00,252.00,0.00,"1,036.00",0.00,43.54%
24,PC - 1,Rina Debee,Level 3,Location 3,Client Service Staff,Confirmed Staff,Rochette Jilleen,31-12-2006,Active,,160,148,0.00,12.00,0.00,36.00,112.00,0.00%,184,180,8.00,4.00,0.00,62.00,86.00,4.44%,176,164,0.00,12.00,0.00,76.00,112.00,0.00%,168,160,1.00,8.00,0.00,48.00,104.00,0.63%,184,184,0.00,0.00,0.00,76.00,120.00,0.00%,168,136,24.00,24.00,8.00,25.00,88.00,17.65%,176,160,0.00,16.00,0.00,28.00,132.00,0.00%,176,160,0.00,16.00,0.00,64.00,96.00,0.00%,168,104,0.00,64.00,0.00,46.00,58.00,0.00%,184,168,0.00,16.00,0.00,84.00,60.00,0.00%,160,144,0.00,16.00,0.00,92.00,76.00,0.00%,176,128,0.00,48.00,0.00,64.00,72.00,0.00%,"2,080",1836,33.00,236.00,8.00,701.00,"1,116.00",1.80%
25,PC - 3,Oriana Tabby,Level 3,Location 4,Client Service Staff,Confirmed Staff,Cacilia Aimee,31-01-2007,Active,,160,160,112.00,0.00,0.00,32.00,16.00,70.00%,184,144,0.00,40.00,0.00,30.00,114.00,0.00%,176,160,112.00,0.00,16.00,44.00,68.00,70.00%,168,168,0.00,0.00,0.00,80.00,80.00,0.00%,184,152,0.00,32.00,0.00,68.00,100.00,0.00%,168,144,9.75,24.00,0.00,68.00,66.25,6.77%,176,176,1.00,0.00,0.00,56.00,119.00,0.57%,176,176,0.00,0.00,0.00,36.00,68.00,0.00%,168,132,6.00,36.00,0.00,52.00,106.00,4.55%,184,120,2.00,64.00,0.00,28.00,130.00,1.67%,160,160,2.00,0.00,0.00,30.00,128.00,1.25%,176,128,46.00,48.00,0.00,14.00,68.00,35.94%,"2,080",1820,290.75,244.00,16.00,538.00,"1,063.25",15.98%
26,PC - 3,Marney Anderea,Level 4,Location 2,Client Service Staff,Confirmed Staff,Revkah Stephie,31-03-2007,Active,,160,128,40.00,32.00,0.00,0.00,88.00,31.25%,184,152,128.00,32.00,0.00,0.00,0.00,84.21%,176,159,154.00,0.00,17.00,0.00,37.00,96.86%,168,160,80.00,0.00,8.00,0.00,72.00,50.00%,184,132,72.00,28.00,24.00,0.00,76.00,54.55%,168,152,152.00,8.00,8.00,0.00,0.00,100.00%,176,88,8.00,88.00,0.00,0.00,80.00,9.09%,176,176,72.00,0.00,0.00,0.00,104.00,40.91%,168,128,48.00,40.00,0.00,0.00,80.00,37.50%,184,160,0.00,24.00,0.00,0.00,136.00,0.00%,160,160,104.00,0.00,0.00,0.00,80.00,65.00%,176,160,96.00,16.00,0.00,0.00,64.00,60.00%,"2,080",1755,954.00,268.00,57.00,0.00,817.00,54.36%
27,PC - 3,Danette Melinda,Level 4,Location 4,Client Service Staff,Confirmed Staff,Daryl Natalina,31-03-2007,Active,,160,148,0.00,12.00,0.00,0.00,152.00,0.00%,184,172,64.00,8.00,4.00,0.00,108.00,37.21%,176,160,80.00,8.00,8.00,0.00,80.00,50.00%,168,168,41.00,0.00,0.00,0.00,127.00,24.40%,184,72,40.00,112.00,0.00,0.00,0.00,55.56%,168,156,40.00,12.00,0.00,0.00,148.00,25.64%,176,152,64.00,24.00,0.00,0.00,88.00,42.11%,176,176,0.00,0.00,0.00,0.00,176.00,0.00%,168,112,32.00,56.00,0.00,0.00,80.00,28.57%,184,168,48.00,16.00,0.00,0.00,120.00,28.57%,160,152,0.00,8.00,0.00,0.00,152.00,0.00%,176,152,48.00,24.00,0.00,0.00,104.00,31.58%,"2,080",1788,457.00,280.00,12.00,0.00,"1,335.00",25.56%
28,PC - 3,Kynthia Hildy,Level 3,Location 2,Client Service Staff,Confirmed Staff,Cacilia Aimee,31-07-2007,Active,,160,136,2.00,24.00,0.00,0.00,134.00,1.47%,184,136,34.00,48.00,0.00,40.00,62.00,25.00%,176,112,45.00,24.00,40.00,-8.00,75.00,40.18%,168,160,70.00,0.00,8.00,0.00,90.00,43.75%,184,168,0.00,16.00,0.00,0.00,176.00,0.00%,168,128,39.00,40.00,0.00,0.00,89.00,30.47%,176,144,27.00,32.00,0.00,0.00,117.00,18.75%,176,176,20.00,0.00,0.00,132.00,24.00,11.36%,168,120,40.00,40.00,8.00,80.00,0.00,33.33%,184,152,57.00,24.00,8.00,95.00,0.00,37.50%,160,152,136.00,8.00,0.00,26.00,0.00,89.47%,176,168,19.00,8.00,0.00,149.00,0.00,11.31%,"2,080",1752,489.00,264.00,64.00,514.00,767.00,27.91%
29,PC - 1,Cynthia Leonora,Level 4,Location 3,Client Service Staff,Confirmed Staff,Kippy Marquita,30-11-2007,Active,,160,160,40.00,0.00,0.00,0.00,128.00,25.00%,184,184,0.00,0.00,0.00,0.00,161.00,0.00%,176,128,88.00,48.00,0.00,0.00,101.00,68.75%,168,160,72.00,0.00,8.00,32.00,48.00,45.00%,184,149,100.00,16.00,19.00,16.00,40.00,67.11%,168,160,54.00,8.00,0.00,38.00,108.00,33.75%,176,140,16.00,24.00,12.00,0.00,124.00,11.43%,176,152,44.00,8.00,16.00,0.00,108.00,28.95%,168,30,12.00,120.00,18.00,0.00,36.00,40.00%,184,152,32.00,16.00,16.00,0.00,128.00,21.05%,160,128,8.00,32.00,0.00,0.00,120.00,6.25%,176,160,106.00,16.00,0.00,0.00,78.00,66.25%,"2,080",1703,572.00,288.00,89.00,86.00,"1,180.00",33.59%
30,PC - 3,Kristina Alleen,Level 4,Location 1,Client Service Staff,Confirmed Staff,Marina Garnette,30-04-2008,Active,,160,152,0.00,8.00,0.00,0.00,152.00,0.00%,184,160,0.00,24.00,0.00,0.00,160.00,0.00%,176,168,0.00,8.00,0.00,0.00,168.00,0.00%,168,168,0.00,0.00,0.00,0.00,160.00,0.00%,184,151,39.00,16.00,17.00,0.00,96.00,25.83%,168,128,80.00,40.00,0.00,0.00,80.00,62.50%,176,160,40.00,16.00,0.00,0.00,104.00,25.00%,176,176,0.00,0.00,0.00,0.00,192.00,0.00%,168,128,48.00,40.00,0.00,0.00,104.00,37.50%,184,168,0.00,16.00,0.00,0.00,168.00,0.00%,160,160,0.00,0.00,0.00,0.00,160.00,0.00%,176,168,0.00,8.00,0.00,0.00,168.00,0.00%,"2,080",1887,207.00,176.00,17.00,0.00,"1,712.00",10.97%
